t,x,y
1,0.707106781,0.658106781
2,0.707106781,0.658106781
3,0.707106781,0.658106781
4,0.707106781,0.658106781
5,0.707106781,0.658106781
6,0.707106781,0.658106781
7,0.707106781,0.658106781
8,0.707106781,0.658106781
9,0.707106781,0.658106781
10,0.707106781,0.658106781
11,0.707106781,0.658106781
12,0.707106781,0.658106781
13,0.707106781,0.658106781
14,0.707106781,0.658106781
15,0.707106781,0.658106781
16,0.707106781,0.658106781
17,0.707106781,0.658106781
18,0.707106781,0.658106781
19,0.707106781,0.658106781
20,0.707106781,0.658106781
21,0.707106781,0.658106781
22,0.707106781,0.658106781
23,0.707106781,0.658106781
24,0.707106781,0.658106781
25,0.707106781,0.658106781
26,0.707106781,0.658106781
27,0.707106781,0.658106781
28,0.707106781,0.658106781
29,0.707106781,0.658106781
30,0.707106781,0.658106781
31,0.707106781,0.658106781
32,0.707106781,0.658106781
33,0.707106781,0.658106781
34,0.707106781,0.658106781
35,0.707106781,0.658106781
36,0.707106781,0.658106781
37,0.707106781,0.658106781
38,0.707106781,0.658106781
39,0.707106781,0.658106781
40,0.707106781,0.658106781
41,0.707106781,0.658106781
42,0.707106781,0.658106781
43,0.707106781,0.658106781
44,0.707106781,0.658106781
45,0.707106781,0.658106781
46,0.707106781,0.658106781
47,0.707106781,0.658106781
48,0.707106781,0.658106781
49,0.707106781,0.658106781
50,0.707106781,0.658106781
51,0.707106781,0.658106781
52,0.707106781,0.658106781
53,0.707106781,0.658106781
54,0.707106781,0.658106781
55,0.707106781,0.658106781
56,0.707106781,0.658106781
57,0.707106781,0.658106781
58,0.707106781,0.658106781
59,0.707106781,0.658106781
60,0.707106781,0.658106781
61,0.707106781,0.658106781
62,0.707106781,0.658106781
63,0.707106781,0.658106781
64,0.707106781,0.658106781
65,0.707106781,0.658106781
66,0.707106781,0.658106781
67,0.707106781,0.658106781
68,0.707106781,0.658106781
69,0.707106781,0.658106781
70,0.707106781,0.658106781
71,0.707106781,0.658106781
72,0.707106781,0.658106781
73,0.707106781,0.658106781
74,0.707106781,0.658106781
75,0.707106781,0.658106781
76,0.707106781,0.658106781
77,0.707106781,0.658106781
78,0.707106781,0.658106781
79,0.707106781,0.658106781
80,0.707106781,0.658106781
81,0.707106781,0.658106781
82,0.707106781,0.658106781
83,0.707106781,0.658106781
84,0.707106781,0.658106781
85,0.707106781,0.658106781
86,0.707106781,0.658106781
87,0.707106781,0.658106781
88,0.707106781,0.658106781
89,0.707106781,0.658106781
90,0.707106781,0.658106781
91,0.707106781,0.658106781
92,0.707106781,0.658106781
93,0.707106781,0.658106781
94,0.707106781,0.658106781
95,0.707106781,0.658106781
96,0.707106781,0.658106781
97,0.707106781,0.658106781
98,0.707106781,0.658106781
99,0.707106781,0.658106781
100,0.707106781,0.658106781
